idlenfour,title
6859,书写认识
6860,八个基础笔画1(横、竖、撇、捺)
6861,八个基础笔画2（点、折、钩、提）
6862,短横的写法与应用（三）
6863,短横的写法与应用（正）
6864,短横的写法与应用（去）
6865,长横的写法与应用（五）
6866,长横的写法与应用（百）
6867,长横的写法与应用（甘）
6868,短竖的写法与应用（支）
6869,短竖的写法与应用（卡）
6870,短竖的写法与应用（巾）
6871,斜短竖的写法与应用（白）
6872,斜短竖的写法与应用（田）
6873,斜短竖的写法与应用（古）
6874,垂露竖的写法与应用（卜）
6875,垂露竖的写法与应用（丫）
6876,垂露竖的写法与应用（末）
6877,悬针竖的写法与应用（斗）
6878,悬针竖的写法与应用（羊）
6879,悬针竖的写法与应用（车）
6880,短撇的写法与应用（勺）
6881,短撇的写法与应用（自）
6882,短撇的写法与应用（舟）
6883,平撇的写法与应用（禾）
6884,平撇的写法与应用（反）
6885,平撇的写法与应用（币）
6886,竖撇的写法与应用（儿）
6887,竖撇的写法与应用（斤）
6888,竖撇的写法与应用（井）
6889,吉人天相+吉+人+天+相
6890,弧撇的写法与应用（大）
6891,弧撇的写法与应用（火）
6892,弧撇的写法与应用（央）
6893,长斜撇的写法与应用（在）
6894,长斜撇的写法与应用（右）
6895,长斜撇的写法与应用（布）
6896,弯尾撇的写法与应用（风）
6897,弯尾撇的写法与应用（戊）
6898,弯尾撇的写法与应用（成）
6899,直捺的写法与应用（父）
6900,直捺的写法与应用（米）
6901,直捺的写法与应用（交）
6902,平捺的写法与应用（之）
6903,平捺的写法与应用（芝）
6904,平捺的写法与应用（达）
6905,斜点的写法与应用（令）
6906,斜点的写法与应用（主）
6907,斜点的写法与应用（冬）
6908,垂点的写法与应用（小）
6909,垂点的写法与应用（穴）
6910,垂点的写法与应用（农）
6911,长点的写法与应用（内）
6912,长点的写法与应用（么）
6913,长点的写法与应用（只）
7441,横折（横长竖短）书
7442,横折（横长竖短）西
7443,横折（横长竖短）昌
7444,横折（横短竖长）且
7445,横折（横短竖长）见
7446,横折（横短竖长）因
7447,在水一方+在+水+一+方
7448,竖折（竖短横长）山
7449,竖折（竖短横长）牙
7450,竖折（竖短横长）岁
7451,竖折（竖长横短）匠
7452,竖折（竖长横短）区
7453,竖折（竖长横短）臣
7454,横钩的写法与应用（买）
7455,横钩的写法与应用（尔）
7456,横钩的写法与应用（空）
7457,竖钩的写法与应用（寸）
7458,竖钩的写法与应用（乎）
7459,竖钩的写法与应用（余）
7460,弯钩的写法与应用（子）
7461,弯钩的写法与应用（狂）
7462,弯钩的写法与应用（孔）
7463,斜钩的写法与应用（戈）
7464,斜钩的写法与应用（代）
7465,斜钩的写法与应用（民）
7466,卧钩的写法与应用（必）
7467,卧钩的写法与应用（思）
7468,卧钩的写法与应用（沁）
7469,斜提的写法与应用（习）
7470,斜提的写法与应用（虫）
7471,斜提的写法与应用（式）
7472,竖提的写法与应用（长）
7473,竖提的写法与应用（氏）
7474,竖提的写法与应用（良）
7475,失信不立+失+信+不+立
7476,先横后竖（古）
7477,先横后竖（木）
7478,先横后竖（丰）
7479,先撇后捺（人）
7480,先撇后捺（个）
7481,先撇后捺（本）
7482,从上到下（它）
7483,从上到下（云）
7484,从上到下（亏）
7485,从左到右（川）
7486,从左到右（叶）
7487,从左到右（羽）
7488,先外后里（月）
7489,先外后里（凡）
7490,先外后里（闪）
7491,先外后里再封口（回）
7492,先外后里再封口（团）
7493,先外后里再封口（困）
7494,先中间后两边（水）
7495,先中间后两边（业）
7497,先中间后两边（丞）
7499,机不可失，时不再来。+机+时
7500,点在上部的写法与应用（义）
7501,点在上部的写法与应用（门）
7502,点在上部的写法与应用（衣）
7503,点在右上的写法与应用（犬）
7504,点在右上的写法与应用（发）
7505,点在右上的写法与应用（龙）
7506,点在里面的写法与应用（叉）
7507,点在里面的写法与应用（雨）
7508,点在里面的写法与应用（母）
7509,不知则问，不能则学。+则+能
7510,左上包围结构（左）
7511,左上包围结构（厅）
7512,左上包围结构（店）
7515,右上包围结构（句）
7516,右上包围结构（可）
7517,右上包围结构（匀）
7518,左下包围结构（过）
7519,左下包围结构（处）
7520,左下包围结构（旭）
7522,左下右包围结构（山）
7523,左下右包围结构（凶）
7524,左下右包围结构（函）
7525,左上右包围结构（凤）
7526,左上右包围结构（网）
7527,左上右包围结构（周）
7528,上左下包围结构（巨）
7529,上左下包围结构（匹）
7530,上左下包围结构（医）
7531,《风》+解+落
7532,《风》+浪+斜
